	codificacao_foto	ano	mes	dia	data	Conta para gente o que está acontecendo	Em que categoria se encaixaria o problema	Categoria 2	Com que frequência isso ocorre	Consegue nos informar o endereço de onde a foto/vídeo foi tirada	Em que localidade fica	Insira a latitude do seu endereço (opcional)	Insira a longitude do seu endereço (opcional)	Você já tentou solucionar o problema de alguma forma	A quem recorreu
 moradores, estamos dependentes de 2 vizinhas que estão nos ajudando. A associação da VJ já está ciente e está junto com o pessoal da Rio Águas, porém até agora nada foi resulvido (estamos mais de 1 semana aguardando eles resolverem essa situação)'	'Falta d''água'	Abastecimento de água	Frequentemente	Rua gratidão, Vila do joão	Vila do João	Sem informacao	Sem informacao	Não menciona	Não menciona
288	20220328_1222	2022	3	28	20220328.0	Acúmulo de lixo e entulho na rua João Magalhães n 26, Timbau	Acúmulo de lixo	Lixo	Não informado	rua João Magalhães n 26, Timbau	Morro do Timbau	Sem informacao	Sem informacao	Não	Não menciona
289	20220411_1904	2022	4	11	20220411.0	Não sei vocês conseguem nos ajudar! Há mais de 1 anos nosso esgoto entope e nossa rua fica inviável pra passarmos, irmos trabalhar sem precisar molhar os pés, crianças brincarem + o odor. Sempre desentupimos do modo paleativo, mas a solução é uma dragagem. Abri um chamado na CEDAE mas fecharam o chamado e nada resolvido. Atualmente o esgoto entope pelo menos 2 vezes na semana.	Transbordamento de esgoto	Esgoto	Frequentemente	Av. Brigadeiro trompowski 210 (vila União, antigo portão da tartaruga, região do sem terra no parque União)	Parque União	-22.848715073492226, -43.24547626699635	-4324547626699630	Não menciona	Não menciona
290	20220413_1059	2022	4	13	20220413.0	Olá! Bom dia ! Sou moradora da maré e gostaria de fazer uma denúncia e um pedido de ajuda. Tem 5 caçambas de lixo aqui na porta , tiraram da esquina e colocaram aqui. Do outro lado da rua não tem nada. Os garis fazem o que querem. Já falamos com eles para espalhar as caçambas mas eles dizem que não vão fazer. Já passaram com caminhão na moto do meu marido parada na nossa porta, tomamos um prejuízo, falamos com eles , e disseram para tirar a moto da nossa calçada. Eles são abusados e alguém precisa fazer alguma coisa. Na frente de cada vila tinha duas caçambas. Eles tiraram da frente da vila e colocaram na nossa porta , tiraram as da esquina e trouxeram para a nossa porta, conclusão, 5 caçambas. Os moradores aqui são sem limites , colocam colchão, móveis e etc na lixeira, vem gente lá da vila do João colocar lixo aqui. Se houvesse duas caçambas na frente das vilas como antes e não na porta das pessoas, o lixo estaria bem distribuído e não haveria tanta sujeira. Não há uma logística coerente nisso. Um descaso com os moradores que nao tem aonde colocar o lixo e acabam fazendo toda essa sujeira	Acúmulo de lixo e entulho	Lixo	Frequentemente	projetada G no salsa e merengue	Salsa e Merengue	Sem informacao	Sem informacao	Não menciona	Não menciona
291	20220520_1324	2022	5	20	20220520.0	'Boa tarde!
 Gostaria de pedir ajuda de vocês para acionar alguma instituição competente para solucionar esse problema, bueiros entupidos! Toda vez que chove, passamos por essa situação!!'	Alagamento	Drenagem	Ocasionalmente	Rua Tancredo Neves, altura do campo sintético do Parque Rubens Vaz.	Parque Rubens Vaz	-2,28524835806851E+016	-4324111459596010	Não menciona	Não menciona
292	20220614_1405	2022	6	14	20220614.0	Tem um esgoto entupido bem na minha porta. Já falei com a Águas do Rio e eles me disseram para falar com a Associação, mas eles falaram que precisa fazer uma obra, que o caso do esgoto aqui é só uma obra. Aí a Associação também só fica fechada. Aí eu peguei o contato de vocês com a Juliana.	Bueiro entupido	Esgoto	Diariamente	Rua C bloco 155 casa 9. Casinhas da baixa. Ao lado da torteria 3 irmãos.	Nova Maré	-2,28596032968765E+016	-4324070281113520	Não menciona	Não menciona
293	20220621_1914	2022	6	21	20220621.0	Boa noite. Esgoto entupido a mais de 1 semana	Bueiro entupido	Esgoto	Frequentemente	Rua b, bloco 355, casinhas	Nova Maré	-2,28602420580378E+016	-4324009975008770	Não menciona	Não menciona
294	20220817_0942	2022	8	17	20220817.0	Bom dia adora que vcs nos ajuda se desentupi o ralo perto da ciclovia, gente faz atividade,está com muito mal cheiro	Bueiro entupido	Esgoto	Frequentemente	Ciclovia do Pinheiro	Vila dos Pinheiros	-2,28677857539766E+016	-4324026762415590	Não	Não menciona
295	20220827_0938	2022	8	27	20220827.0	Bom dia , vazamento de esgoto 	Transbordamento de esgoto	Esgoto	Ocasionalmente	Beco da rua Ivanildo Alves, 55	Nova Maré	-2,28585889915588E+016	-43244372907341	Não	Não menciona
