Num	Registro no site	data	codificacao_foto	Conta para gente o que está acontecendo	Em que categoria se encaixaria o problema?	RECLASSIFICAÇÃO	PRECISA REV MANUAL?	Categoria 2	Com que frequência isso ocorre?	Consegue nos informar o endereço de onde a foto/vídeo foi tirada?	Em que localidade fica?	Insira a latitude do seu endereço (opcional)	Insira a longitude do seu endereço (opcional)	Você já tentou solucionar o problema de alguma forma?	A quem recorreu?
100	Sim	20210702	20210702_1811	Problema Frequente	Esgoto a céu aberto	Não precisa		Esgoto	Frequentemente	Fotos da Rua Jubaulima - Rua Inteira.	Roquete Pinto	-22.84311	-43.24924		
101	Sim	20210702	20210702_1835	 Problema incomum, mas que tá se tornando comum	Acúmulo de lixo	Não precisa		Lixo	Frequentemente	Passarela 12	Roquete Pinto	-22.84291	-43.25066		
102	Sim	20210705	20210705_1312	Vazamento de água constante	Transbordamento de água	Não precisa		Abastecimento de água	Frequentemente	rua nova Jerusalém (rampa que sai na rua Oliveira )	Morro do Timbau	-22.86143	-43.24083		
103	Sim	20210705	20210705_1315	Morador desentupindo boeiro	Bueiro entupido	Boca de lobo entupida	Não	Esgoto	Ocasionalmente	a rua do canal projetada, em frente o número 67	Baixa do Sapateiro	-22.86084	 -43.24058		
104	Sim	20210706	20210706_2106	Vazamento de água ainda persiste	Transbordamento de água	Não precisa		Abastecimento de água	Frequentemente	rua nova Jerusalém, próximo ao número 96 timbau	Morro do Timbau	-22.86181	-43.24065		
105	Sim	20210709	20210709_0824	Esgoto vazando	Esgoto a céu aberto	Não precisa		Esgoto	Frequentemente	b9 com a via b1	Vila dos Pinheiros	-22.86751	-43.23903		
106	Sim	20210709	20210709_0825	Bueiro sem a tampa	Problemas com bueiro	Problemas com bueiro		Esgoto	Diariamente	b9 próximo ao campo da toca	Vila dos Pinheiros	-22.86799	-43.23927		
107	Sim	20210709	20210709_0836	Esgoto vazando	Esgoto a céu aberto	Não precisa		Esgoto	Frequentemente	seletiva número 58	Vila dos Pinheiros	-22.86389	-43.23478		
108	Sim	20210713	20210713_2026	Valão com muito lixo	Acúmulo de lixo e entulho	Não precisa		Lixo	Diariamente	av canal próximo a rua 12 da vila do João	Vila do João	-22.87059	-43.2403		
109	Sim	20210715	20210715_1109	Entulho na rua	Acúmulo de lixo e entulho	Não precisa		Lixo	Frequentemente	rua do canal projetada em frente ao valão, Baixa	Baixa do Sapateiro	-22.860520	-43.240958		
110	Sim	20210715	20210715_1110	Lixo continuo	Acúmulo de lixo	Acúmulo de lixo e entulho		Lixo	Diariamente	 rua do canal projetada , esquina com a rua principal. Baixa	Baixa do Sapateiro	-22.860432	-43.241077		
111	Não	20210715	20210715_1226	Diversos pontos de esgotamento	Esgoto a céu aberto	Não precisa		Esgoto	Frequentemente	Esquina com rua das oliveiras. Baixa	Baixa do Sapateiro	-22.861257	-43.242434		
112	Não	20210715	20210715_1226	Diversos pontos de esgotamento	Transbordamento de esgoto	Não precisa		Esgoto	Frequentemente	Esquina com rua das oliveiras. Baixa	Baixa do Sapateiro	-22.861176	 -43.242292		
