,codificacao_foto,ano,mes,dia,data,Conta para gente o que está acontecendo,Em que categoria se encaixaria o problema,Categoria 2,Com que frequência isso ocorre,Consegue nos informar o endereço de onde a foto/vídeo foi tirada,Em que localidade fica,Insira a latitude do seu endereço (opcional),Insira a longitude do seu endereço (opcional),Você já tentou solucionar o problema de alguma forma,A quem recorreu
100,20210610_2130,2021,06,10,20210610.0,Choveu por 1 hora e a rua já alagou de forma que dificultou a saída para o trabalho,Alagamento,Drenagem,Ocasionalmente,Rua das Américas,Nova Holanda,-22.8529,-43.24285,Sem informacao,Sem informacao
101,20210611_1234,2021,06,11,20210611.0,Acúmulo de lixo na faixa de pedestre,Acúmulo de lixo,Lixo,Diariamente,"faixa de pedestre na Bento Ribeiro Dantas beirando a linha amarela , próximo a passarela da via rio construshow",Baixa do Sapateiro,-22.865691245232238,-43.23995547261712,Sem informacao,Sem informacao
102,20210611_1239,2021,06,11,20210611.0,Acúmulo de lixo e entulho,Acúmulo de lixo e entulho,Lixo,Frequentemente," rua praia de Inhauma beco próximo ao número 44, em frente ao pontilhão do da linha amarela",Morro do Timbau,-22.863206273429498,-43.23906043597706,Sem informacao,Sem informacao
103,20210611_1240,2021,06,11,20210611.0,Acúmulo de lixo na rua praia de Inhauma,Acúmulo de lixo e entulho,Lixo,Diariamente,"ua praia de Inhauma em frente ao pontilhão da linha amarela , ao lado de um mini jardim chamado ""jardim cuide de mim""",Morro do Timbau,-22.86260441794414,-43.2387996741408,Sem informacao,Sem informacao
104,20210611_1248,2021,06,11,20210611.0,Acúmulo de entulho na rua,Acúmulo de lixo e entulho,Lixo,Ocasionalmente,praia de Inhauma uma próximo ao número 14.,Morro do Timbau,-22.86218,-43.23817,Sem informacao,Sem informacao
105,20210618_1141,2021,06,18,20210618.0,Problema de Esgoto - Frequente. ,Esgoto a céu aberto,Esgoto,Diariamente,". Gerson Ferreira , próximo a Passarela 12",Roquete Pinto,-22.84218,-43.24967,Sem informacao,Sem informacao
106,20210618_1142,2021,06,18,20210618.0,"Problema de Esgoto -  Problema frequente (sempre que chove) - Junto temos a grande quantidade de bichos (ratos) e insetos (mosquitos, larvas) ",Alagamento,Drenagem,Ocasionalmente,Piscinão de Ramos (Praça do Piscinão),Praia de Ramos,-22.84018,-43.24976,Sem informacao,Sem informacao
107,20210618_1143,2021,06,18,20210618.0,Foto de Esgoto - Rua Gerson Ferreira. Próximo a Passarela 12 - problema frequente - foto do dia 16/06/21,Esgoto a céu aberto,Esgoto,Diariamente,Rua Gerson Ferreira. Próximo a Passarela 12,Roquete Pinto,-22.84254,-43.2502,Sem informacao,Sem informacao
108,20210618_1255,2021,06,18,20210618.0,Bueiro aberto ,Problemas com bueiro,Esgoto,Frequentemente,rua Guilherme frota em frente ao número 516,Baixa do Sapateiro,-22.86272,-43.24386,Sem informacao,Sem informacao
109,20210618_1302,2021,06,18,20210618.0,Vazamento de água,Transbordamento de água,Abastecimento de água,Frequentemente,rua nova Jerusalém próximo a fábrica edi ouro n545,Baixa do Sapateiro,-22.86142,-43.2454,Sem informacao,Sem informacao
110,20210618_1305,2021,06,18,20210618.0,Vazamento de esgoto,Transbordamento de esgoto,Esgoto,Diariamente,rua nova Jerusalém em frente ao número 270,Baixa do Sapateiro,-22.86148,-43.24615,Sem informacao,Sem informacao
111,20210618_1416,2021,06,18,20210618.0,Esgoto exalando mau cheiro e transbordando água pela tampa,Bueiro entupido,Esgoto,Frequentemente,Rua da paz com tiradentes,Parque União,-22.85213,-43.24552,Sem informacao,Sem informacao
112,20210618_1418,2021,06,18,20210618.0,"Me pareceu ser uma tampa de bueiro pluvial desativado (não tenho certeza), mas de qualquer forma está eliminando esgoto para a rua",Bueiro entupido,Esgoto,Frequentemente,"Parque união, Rua Brasíli",Parque União,-22.85089,-43.24312,Sem informacao,Sem informacao
113,20210618_1421,2021,06,18,20210618.0,"Morador disse que ali sempre inundava quando saia água pelo cano) me pareceu mais um problema de infra estrutura, mas como fiquei na dúvida tirei foto",Transbordamento de água,Esgoto,Frequentemente,"Parque União, Rua Brasília esquina com a rua que faz ligação com a rua larga",Parque União,-22.85078,-43.24279,Sem informacao,Sem informacao
114,20210622_1133,2021,06,22,20210622.0,Está com muito lixo,Acúmulo de lixo e entulho,Lixo,Diariamente,"Mata , vila do Pinheiro",Vila dos Pinheiros,-22.86565,-43.23606,Sem informacao,Sem informacao
115,20210622_1134,2021,06,22,20210622.0,Está com muito lixo,Acúmulo de lixo e entulho,Lixo,Diariamente,"Mata , vila do Pinheiro",Vila dos Pinheiros,-22.8662,-43.23537,Sem informacao,Sem informacao
116,20210622_1135,2021,06,22,20210622.0,Está com muito lixo,Acúmulo de lixo e entulho,Lixo,Diariamente,"Mata , vila do Pinheiro",Vila dos Pinheiros,-22.86483,-43.2349,Sem informacao,Sem informacao
117,20210623_1542,2021,06,23,20210623.0,Entulho na rua,Acúmulo de lixo e entulho,Lixo,Frequentemente,"rua nova Jerusalém, beco ao lado do N 573, próximo a casa 46.",Morro do Timbau,-22.86178,-43.24056,Sem informacao,Sem informacao
118,20210623_1543,2021,06,23,20210623.0,Entulho na rua,Acúmulo de lixo e entulho,Lixo,Diariamente,rua nova Jerusalém beco (próximo ao número 88),Morro do Timbau,-22.86169,-43.23998,Sem informacao,Sem informacao
119,20210623_1545,2021,06,23,20210623.0,Relato dos moradores que em dias de chuva o beco fica alagado nesta área.,Alagamento,Esgoto,Ocasionalmente,Beco do tripeiro,Baixa do Sapateiro,-22.86143,-43.23951,Sem informacao,Sem informacao
120,20210623_1547,2021,06,23,20210623.0,Acúmulo Entulho,Acúmulo de lixo e entulho,Lixo,Frequentemente,em frente a vila olímpica próximo ao UERE- baixa do sapateiro,Nova Maré,-22.86033,-43.23919,Sem informacao,Sem informacao
121,20210624_2348,2021,06,24,20210624.0,Muito lixo,Acúmulo de lixo e entulho,Lixo,Diariamente,Final da rua projetada c. Perto da linha vermelha ( fim do mundo),Vila dos Pinheiros,-22.86757,-43.23323,Sem informacao,Sem informacao
122,20210625_1242,2021,06,25,20210625.0,Rua com vários pontos de acúmulo de lixos e e lixos espalhados,Acúmulo de lixo e entulho,Lixo,Diariamente,Rua Ivanildo Alvez/divisa altura da lona. Beirando o balão.,Nova Maré,-22.85827,-43.24063,Sem informacao,Sem informacao
123,20210625_1246,2021,06,25,20210625.0,Vazamento de esgoto,Esgoto a céu aberto,Esgoto,Frequentemente,"rua principal em frente à praça 18, baixa do sapateiro",Nova Maré,-22.85907,-43.2413,Sem informacao,Sem informacao
124,20210625_1249,2021,06,25,20210625.0,Acúmulo de lixo em vários pontos da beira do valão . Relato de moradores sobre haver muitos ratos transitando no local devido ao lixo e ao valão.,Acúmulo de lixo,Lixo,Diariamente,"eira do valão da baixa do sapateiro, localizada na rua do canal projetada",Nova Maré,-22.86072,-43.24044,Sem informacao,Sem informacao
125,20210625_1306,2021,06,25,20210625.0,"Acúmulo de lixo na rua da proclamação pro com a fábrica ediouro, em frente ao n 86. Baixa",Acúmulo de lixo e entulho,Lixo,Diariamente,"ua da proclamação pro com a fábrica ediouro, em frente ao n 86. Baixa",Baixa do Sapateiro,-22.86074,-43.2452,Sem informacao,Sem informacao
126,20210625_1307,2021,06,25,20210625.0,Canteiro com acúmulo de lixo,Acúmulo de lixo,Lixo,Diariamente,"rua da proclamação, próximo ao número 152 e a ediouro na baixa",Baixa do Sapateiro,-22.86071,-43.24568,Sem informacao,Sem informacao
127,20210625_1309,2021,06,25,20210625.0,Vazamento de esgoto,Esgoto a céu aberto,Esgoto,Diariamente,"rua da proclamação em frente a fabrica ediouro , prox aí n156, baixa",Baixa do Sapateiro,-22.86069,-43.24579,Sem informacao,Sem informacao
128,20210628_1238,2021,06,28,20210628.0,Sem informacao,Esgoto a céu aberto,Esgoto,Frequentemente,"Rua Deodoro Da Fonseca, próximo a esquina com a rua Ari Leão",Parque União,-22.85117,-43.24629,Sem informacao,Sem informacao
129,20210628_1241,2021,06,28,20210628.0,Morador diz que o problema é de grande frequência à noite,Bueiro entupido,Esgoto,Diariamente,"Rua Maurício de Nassau, no início próximo a Roberto da Silveira",Parque União,-22.85146,-43.24487,Sem informacao,Sem informacao
130,20210628_1244,2021,06,28,20210628.0,Sem informacao,Acúmulo de lixo,Lixo,Frequentemente,Rua Rio Preto com Rua Duque de Caxias.,Parque União,-22.85069,-43.24434,Sem informacao,Sem informacao
131,20210628_1252,2021,06,28,20210628.0,Sem informacao,Acúmulo de lixo,Lixo,Frequentemente,"Rua da Conquista, no trecho Entre a esquina com a Rua rio Preto e a Rua Ari Leoa",Parque União,-22.85048,-43.2441,Sem informacao,Sem informacao
132,20210629_1612,2021,06,29,20210629.0,Sem informacao,Acúmulo de lixo,Lixo,Diariamente,"Travessa 57 esquina com A 1 muito lixo , fica na vila do Pinheiro",Vila dos Pinheiros,-22.86934,-43.23775,Sem informacao,Sem informacao
133,20210702_1218,2021,07,02,20210702.0,Sem informacao,Acúmulo de lixo e entulho,Lixo,Frequentemente,"rua dos Caetés , próximo ao bar do seu Zé",Morro do Timbau,-22.86247,-43.24146,Sem informacao,Sem informacao
134,20210702_1219,2021,07,02,20210702.0,Entulho ,Acúmulo de lixo e entulho,Lixo,Frequentemente,"beco dos Caetés , ao lado do bar !! Timbau",Morro do Timbau,-22.86243,-43.24027,Sem informacao,Sem informacao
135,20210702_1234,2021,07,02,20210702.0,Vazamento de água,Transbordamento de água,Abastecimento de água,Frequentemente,beco bela vista em frente ao número 9,Baixa do Sapateiro,-22.86137,-43.2418,Sem informacao,Sem informacao
136,20210702_1236,2021,07,02,20210702.0,Bueiro entupido,Transbordamento de esgoto,Drenagem,Frequentemente,"rua das oliveiras em frente ao número 30, baixa",Baixa do Sapateiro,-22.86097,-43.24188,Sem informacao,Sem informacao
137,20210702_1237,2021,07,02,20210702.0,Vazamento de esgoto,Esgoto a céu aberto,Esgoto,Frequentemente,"rua das Oliveiras em frente ao 32, baixa",Baixa do Sapateiro,-22.86097,-43.24163,Sem informacao,Sem informacao
138,20210702_1245,2021,07,02,20210702.0,Esgoto aberto,Transbordamento de esgoto,Esgoto,Diariamente,"beco da rua das oliveiras , em frente à loja esquadrilha ! Baixa",Baixa do Sapateiro,-22.86084,-43.24152,Sem informacao,Sem informacao
139,20210702_1246,2021,07,02,20210702.0,Morador desentupindo bueiro de esgoto,Bueiro entupido,Esgoto,Ocasionalmente,rua das oliveiras próximo ao número 83,Baixa do Sapateiro,-22.86121,-43.24113,Sem informacao,Sem informacao
140,20210702_1301,2021,07,02,20210702.0,Cano vazando,Transbordamento de esgoto,Esgoto,Frequentemente,"beco da rua das oliveiras ,n70, entrada do beco altura do número 39, baixa",Baixa do Sapateiro,-22.86132,-43.24022,Sem informacao,Sem informacao
141,20210702_1811,2021,07,02,20210702.0,Problema Frequente,Esgoto a céu aberto,Esgoto,Frequentemente,Fotos da Rua Jubaulima - Rua Inteira.,Roquete Pinto,-22.84311,-43.24924,Sem informacao,Sem informacao
142,20210702_1835,2021,07,02,20210702.0," Problema incomum, mas que tá se tornando comum",Acúmulo de lixo,Lixo,Frequentemente,Passarela 12,Roquete Pinto,-22.84291,-43.25066,Sem informacao,Sem informacao
143,20210705_1312,2021,07,05,20210705.0,Vazamento de água constante,Transbordamento de água,Abastecimento de água,Frequentemente,rua nova Jerusalém (rampa que sai na rua Oliveira ),Morro do Timbau,-22.86143,-43.24083,Sem informacao,Sem informacao
144,20210705_1315,2021,07,05,20210705.0,Morador desentupindo boeiro,Bueiro entupido,Esgoto,Ocasionalmente,"a rua do canal projetada, em frente o número 67",Baixa do Sapateiro,-22.86084,-43.24058,Sem informacao,Sem informacao
145,20210706_2106,2021,07,06,20210706.0,Vazamento de água ainda persiste,Transbordamento de água,Abastecimento de água,Frequentemente,"rua nova Jerusalém, próximo ao número 96 timbau",Morro do Timbau,-22.86181,-43.24065,Sem informacao,Sem informacao
146,20210709_0824,2021,07,09,20210709.0,Esgoto vazando,Esgoto a céu aberto,Esgoto,Frequentemente,b9 com a via b1,Vila dos Pinheiros,-22.86751,-43.23903,Sem informacao,Sem informacao
147,20210709_0825,2021,07,09,20210709.0,Bueiro sem a tampa,Problemas com bueiro,Esgoto,Diariamente,b9 próximo ao campo da toca,Vila dos Pinheiros,-22.86799,-43.23927,Sem informacao,Sem informacao
148,20210709_0836,2021,07,09,20210709.0,Esgoto vazando,Esgoto a céu aberto,Esgoto,Frequentemente,seletiva número 58,Vila dos Pinheiros,-22.86389,-43.23478,Sem informacao,Sem informacao
149,20210713_2026,2021,07,13,20210713.0,Valão com muito lixo,Acúmulo de lixo e entulho,Lixo,Diariamente,av canal próximo a rua 12 da vila do João,Vila do João,-22.87059,-43.2403,Sem informacao,Sem informacao
150,20210715_1109,2021,07,15,20210715.0,Entulho na rua,Acúmulo de lixo e entulho,Lixo,Frequentemente,"rua do canal projetada em frente ao valão, Baixa",Baixa do Sapateiro,-22.860520,-43.240958,Sem informacao,Sem informacao
151,20210715_1110,2021,07,15,20210715.0,Lixo continuo,Acúmulo de lixo,Lixo,Diariamente," rua do canal projetada , esquina com a rua principal. Baixa",Baixa do Sapateiro,-22.860432,-43.241077,Sem informacao,Sem informacao
152,20210715_1226,2021,07,15,20210715.0,Diversos pontos de esgotamento,Esgoto a céu aberto,Esgoto,Frequentemente,Esquina com rua das oliveiras. Baixa,Baixa do Sapateiro,-22.861257,-43.242434,Sem informacao,Sem informacao
153,20210715_1335,2021,07,15,20210715.0,Vazamento de esgoto em vários pontos,Esgoto a céu aberto,Esgoto,Frequentemente,rua A n12,Baixa do Sapateiro,-22.860522,-43.243023,Sem informacao,Sem informacao
