,ano,Mes,Localidade,Categoria,Subcategoria
192,2021,julho,Nova Holanda,Abastecimento de água,Transbordamento de água
193,2021,julho,Vila dos Pinheiros,Esgoto,Transbordamento de água
194,2021,julho,Vila dos Pinheiros,Lixo,Acúmulo de lixo
195,2021,julho,Salsa e Merengue,Esgoto,Transbordamento de esgoto
196,2021,julho,Salsa e Merengue,Esgoto,Transbordamento de água
197,2021,julho,Vila do João,Esgoto,Transbordamento de água
198,2021,julho,Vila dos Pinheiros,Esgoto,Esgoto a céu aberto
199,2021,julho,Parque Rubens Vaz,Esgoto,Esgoto a céu aberto
200,2021,julho,Baixa do Sapateiro,Lixo,Acúmulo de lixo
201,2021,julho,Baixa do Sapateiro,Esgoto,Problemas com bueiro
202,2021,julho,Baixa do Sapateiro,Esgoto,Problemas com bueiro
203,2021,julho,Baixa do Sapateiro,Lixo,Acúmulo de lixo e entulho
204,2021,agosto,Morro do Timbau,Esgoto,Esgoto a céu aberto
205,2021,agosto,Morro do Timbau,Lixo,Acúmulo de lixo e entulho
206,2021,agosto,Marcílio Dias,Lixo,Acúmulo de lixo
207,2021,agosto,Marcílio Dias,Esgoto,Bueiro entupido
208,2021,agosto,Marcílio Dias,Drenagem,Transbordamento de água
209,2021,agosto,Vila dos Pinheiros,Drenagem,Transbordamento de água
210,2021,agosto,Vila dos Pinheiros,Drenagem,Transbordamento de água
211,2021,agosto,Vila dos Pinheiros,Esgoto,Esgoto a céu aberto
212,2021,agosto,Vila dos Pinheiros,Esgoto,Transbordamento de esgoto
213,2021,agosto,Vila dos Pinheiros,Esgoto,Transbordamento de esgoto
214,2021,agosto,Vila dos Pinheiros,Esgoto,Esgoto a céu aberto
215,2021,agosto,Vila dos Pinheiros,Lixo,Acúmulo de lixo
216,2021,agosto,Vila dos Pinheiros,Lixo,Acúmulo de lixo
217,2021,agosto,Vila dos Pinheiros,Drenagem,Bueiro entupido
218,2021,agosto,Vila dos Pinheiros,Lixo,Acúmulo de lixo
219,2021,agosto,Baixa do Sapateiro,Esgoto,Esgoto a céu aberto
220,2021,agosto,Morro do Timbau,Lixo,Acúmulo de lixo
221,2021,agosto,Vila do João,Lixo,Acúmulo de lixo
222,2021,agosto,Vila do João,Esgoto,Esgoto a céu aberto
223,2021,agosto,Conjunto Esperança,Drenagem,Alagamento
224,2021,agosto,Vila do João,Esgoto,Bueiro entupido
225,2021,agosto,Nova Holanda,Esgoto,Esgoto a céu aberto
226,2021,agosto,Baixa do Sapateiro,Esgoto,Esgoto a céu aberto
227,2021,agosto,Baixa do Sapateiro,Esgoto,Esgoto a céu aberto
228,2021,agosto,Baixa do Sapateiro,Esgoto,Transbordamento de esgoto
229,2021,agosto,Marcílio Dias,Drenagem,Alagamento
230,2021,agosto,Marcílio Dias,Drenagem,Alagamento
